condition,subject,session,cycle,trial,test,stimulus,category,response,dangerous,nutricious,correct,cumulative,RT,motivation,competence,communication,complement,AccuracyP,Accuracy
Dyads,32,3,1,10,0,00101.jpg 3,1,1,0,0,1,0,10939,3,3.5,2.5,1.5,0.32901997037570385,1
Dyads,32,3,1,11,0,00010.jpg 3,1,4,0,0,0,-100,32165,3,3.5,2.5,1.5,0.4142067731290518,0
Dyads,32,3,1,12,0,01011.jpg 3,3,1,1,0,0,-200,7383,3,3.5,2.5,1.5,0.3354960967592631,0
Dyads,32,3,1,13,0,10011.jpg 3,3,4,1,0,0,-300,36656,3,3.5,2.5,1.5,0.3360530870166697,0
Dyads,32,3,1,14,0,00111.jpg 3,3,4,1,0,0,-400,24982,3,3.5,2.5,1.5,0.33456862743465837,0
Dyads,32,3,1,15,0,10111.jpg 3,4,4,1,1,1,-300,27384,3,3.5,2.5,1.5,0.42622309403280045,1
Dyads,32,3,1,16,0,11101.jpg 3,2,2,0,1,1,-200,21207,3,3.5,2.5,1.5,0.4330645820457342,1
Dyads,32,3,1,17,0,01110.jpg 3,2,2,0,1,1,-100,33176,3,3.5,2.5,1.5,0.3682239334635168,1
Dyads,32,3,1,18,0,11100.jpg 3,2,2,0,1,1,0,28097,3,3.5,2.5,1.5,0.5057829539197821,1
Dyads,32,3,1,19,0,11010.jpg 3,2,3,0,1,0,-100,27350,3,3.5,2.5,1.5,0.39575098638328066,0
Dyads,32,3,1,20,0,11011.jpg 3,4,2,1,1,0,-200,3985,3,3.5,2.5,1.5,0.3590787120693904,0
Dyads,32,3,1,21,0,11111.jpg 3,4,4,1,1,1,-100,31401,3,3.5,2.5,1.5,0.5802488800105469,1
Dyads,32,3,1,22,0,11010.jpg 3,2,2,0,1,1,0,12297,3,3.5,2.5,1.5,0.39575098638328066,1
Dyads,32,3,1,23,0,11000.jpg 3,1,1,0,0,1,100,11533,3,3.5,2.5,1.5,0.47673521587043727,1
Dyads,32,3,1,24,0,01010.jpg 3,1,1,0,0,1,200,19970,3,3.5,2.5,1.5,0.41568753080395304,1
Dyads,32,3,1,25,0,11101.jpg 3,2,3,0,1,0,100,13147,3,3.5,2.5,1.5,0.4330645820457342,0
Dyads,32,3,1,26,0,10110.jpg 3,2,2,0,1,1,200,18742,3,3.5,2.5,1.5,0.3779321201254598,1
